W_UWH_EFH,WW_UWH_EFH,W_UWB_EFH,WW_UWB_EFH,W_USH_EFH,WW_USH_EFH,W_USB_EFH,WW_USB_EFH,W_SWX_EFH,WW_SWX_EFH,W_SSX_EFH,WW_SSX_EFH,W_WWH_EFH,WW_WWH_EFH,W_WWB_EFH,WW_WWB_EFH,W_WSH_EFH,WW_WSH_EFH,W_WSB_EFH,WW_WSB_EFH,W_UWH_MFH,WW_UWH_MFH,W_UWB_MFH,WW_UWB_MFH,W_USH_MFH,WW_USH_MFH,W_USB_MFH,WW_USB_MFH,W_SWX_MFH,WW_SWX_MFH,W_SSX_MFH,WW_SSX_MFH,W_WWH_MFH,WW_WWH_MFH,W_WWB_MFH,WW_WWB_MFH,W_WSH_MFH,WW_WSH_MFH,W_WSB_MFH,WW_WSB_MFH
0.00191938579654511,0,0,0,0,0,0,0,0,0,0,0,0.000958773,0,0,0,0.000958772770853308,0,0.00103092783505155,0,0.00734689612523432,0.00384543089177209,0,0.000395699992326537,0.000143508966494157,0,0.00148797738437267,0,0,0,0.000184093329676614,0,0.00870786958810202,0.0132874616896454,0.00796165183310043,0,0.00818124489644101,0,0.0107362010373664,0
0,0,0.00257731958762887,0,0,0,0.00181818181818182,0,0,0,0,0,0.000958773,0,0,0,0.000958772770853308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00133155792276964,0,0,0,0,0,0,0,0,0,0.00174520069808028,0,0.000958772770853308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.000958772,0,0.00174520069808028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00133155792276964,0,0.00181818181818182,0,0,0,0,0,0.000958773,0,0,0,0.000958772770853308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00191938579654511,0,0.00257731958762887,0,0.00133155792276964,0,0.00181818181818182,0,0,0,0,0,0,0,0.00174520069808028,0,0.000958772770853308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0019193857965451,0,0,0,0,0,0,0,0,0,0,0,0.000958773,0,0.00174520069808028,0,0.000958772770853307,0,0.00103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00383877159309021,0,0,0,0.00133155792276964,0,0.00181818181818182,0,0,0,0,0,0.000958773,0,0.00174520069808028,0,0.000958772770853307,0,0.00103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00133155792276964,0,0.00181818181818182,0,0,0,0,0,0,0,0,0,0.000958772770853308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00191938579654511,0,0,0,0.00133155792276964,0,0,0,0,0,0,0,0.000958772,0,0.00174520069808028,0,0,0,0.00103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.000958773,0,0.00174520069808028,0,0.000958772770853307,0,0.00103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00133155792276964,0,0,0,0,0,0,0,0,0,0,0,0.000958772770853308,0,0.00103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00191938579654511,0,0,0,0.00133155792276964,0,0,0,0,0,0,0,0.000958773,0,0,0,0.000958772770853308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00133155792276964,0,0,0,0,0,0,0,0.000958773,0,0,0,0.000958772770853307,0,0.00103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.00181818181818182,0,0,0,0,0,0.000958772,0,0,0,0,0,0.00103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00133155792276964,0,0,0,0,0,0,0,0,0,0,0,0.000958772770853308,0,0,0,0.013816232564782,0.0230924472213962,0,0.000288474780364766,0.000599662467136289,0.000171032261331358,0,0,0,0.000168090083658356,0,0,0.00597627367125148,0.00321568284798445,0.00817589898195893,0,0.00480975192637291,0.000555567822366448,0.00744346680962571,0
0,0,0,0,0.00133155792276964,0,0.00181818181818182,0,0,0,0,0,0.000958773,0,0,0,0.000958772770853307,0,0.00103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.000958773,0,0,0,0.000958772770853308,0,0.00103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00133155792276964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.00257731958762887,0,0.00133155792276964,0,0,0,0,0,0,0,0.000958773000000001,0,0.00174520069808028,0,0.000958772770853308,0,0.00103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.00257731958762887,0,0.00133155792276964,0,0,0,0,0,0,0,0.000958773,0,0.00174520069808028,0,0.000958772770853307,0,0.00103092783505154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
