SSams_cooking,SSams_dishwasher,SSams_dishwasher_end,SSams_drier,SSams_drier_end,SSams_entertainment,SSams_equipment,SSams_freezer,SSams_fridge,SSams_lighting,SSams_office,SSams_washingmachine,SSams_washingmachine_end,SSonn_cooking,SSonn_dishwasher,SSonn_dishwasher_end,SSonn_drier,SSonn_drier_end,SSonn_entertainment,SSonn_equipment,SSonn_freezer,SSonn_fridge,SSonn_lighting,SSonn_office,SSonn_washingmachine,SSonn_washingmachine_end,SWerk_cooking,SWerk_dishwasher,SWerk_dishwasher_end,SWerk_drier,SWerk_drier_end,SWerk_entertainment,SWerk_equipment,SWerk_freezer,SWerk_fridge,SWerk_lighting,SWerk_office,SWerk_washingmachine,SWerk_washingmachine_end,USams_cooking,USams_dishwasher,USams_dishwasher_end,USams_drier,USams_drier_end,USams_entertainment,USams_equipment,USams_freezer,USams_fridge,USams_lighting,USams_office,USams_washingmachine,USams_washingmachine_end,USonn_cooking,USonn_dishwasher,USonn_dishwasher_end,USonn_drier,USonn_drier_end,USonn_entertainment,USonn_equipment,USonn_freezer,USonn_fridge,USonn_lighting,USonn_office,USonn_washingmachine,USonn_washingmachine_end,UWerk_cooking,UWerk_dishwasher,UWerk_dishwasher_end,UWerk_drier,UWerk_drier_end,UWerk_entertainment,UWerk_equipment,UWerk_freezer,UWerk_fridge,UWerk_lighting,UWerk_office,UWerk_washingmachine,UWerk_washingmachine_end,WSams_cooking,WSams_dishwasher,WSams_dishwasher_end,WSams_drier,WSams_drier_end,WSams_entertainment,WSams_equipment,WSams_freezer,WSams_fridge,WSams_lighting,WSams_office,WSams_washingmachine,WSams_washingmachine_end,WSonn_cooking,WSonn_dishwasher,WSonn_dishwasher_end,WSonn_drier,WSonn_drier_end,WSonn_entertainment,WSonn_equipment,WSonn_freezer,WSonn_fridge,WSonn_lighting,WSonn_office,WSonn_washingmachine,WSonn_washingmachine_end,WWerk_cooking,WWerk_dishwasher,WWerk_dishwasher_end,WWerk_drier,WWerk_drier_end,WWerk_entertainment,WWerk_equipment,WWerk_freezer,WWerk_fridge,WWerk_lighting,WWerk_office,WWerk_washingmachine,WWerk_washingmachine_end
6.76349e-06,7.92844e-09,1.8466e-05,0.000323799,1.10796e-05,0.000467702,9.86793e-06,0.00068137,0.00068137,0.000181784,0.000507762,1.10797e-05,1.10796e-05,7.38641e-06,7.83846e-09,1.8466e-05,5.6414e-05,1.10796e-05,0.000579842,5.94475e-05,0.000682722,0.000682722,0.000243294,1.10796e-05,0.000157474,1.10796e-05,2.06848e-08,2.41986e-08,1.8466e-05,2.58582e-05,1.10796e-05,1.5494e-05,3.74612e-07,0.00068137,0.00068137,0.000129531,7.43705e-09,7.30693e-10,1.10796e-05,1.77274e-05,1.30088e-08,1.8466e-05,5.113e-05,1.10796e-05,0.000233961,5.84786e-05,0.00068137,0.00068137,0.00010688,1.1084e-05,2.54538e-06,1.10796e-05,7.02981e-06,7.4336e-09,1.8466e-05,0.000269828,1.10796e-05,0.000370156,1.7235e-05,0.00068137,0.00068137,0.000851706,1.25798e-08,1.47729e-05,1.10796e-05,7.60893e-06,1.03163e-08,1.8466e-05,0.000377765,1.10796e-05,0.000132249,6.59542e-05,0.00068137,0.00068137,0.00029926,7.38641e-06,1.25771e-07,1.10796e-05,2.63523e-07,6.69151e-07,1.8466e-05,7.93496e-05,1.10796e-05,0.000517631,1.48194e-05,0.00068137,0.00068137,0.000751564,1.00743e-05,7.17997e-10,1.10796e-05,1.6765e-08,6.69152e-07,1.8466e-05,1.19878e-07,1.10796e-05,0.000431725,9.25743e-05,0.000682722,0.000682722,0.000674542,1.67702e-08,1.91843e-06,1.10796e-05,4.90742e-07,8.03686e-08,1.8466e-05,0.00010198,1.10796e-05,0.000132249,4.74788e-05,0.00068137,0.00068137,0.00023996,1.52225e-05,1.87377e-06,1.10796e-05
6.58255e-06,7.31107e-09,1.80095e-05,0.000319765,1.08057e-05,0.000463814,9.5636e-06,0.000681355,0.000681355,0.00017443,0.000503465,1.08058e-05,1.08057e-05,7.20379e-06,7.22511e-09,1.80095e-05,5.48313e-05,1.08057e-05,0.00057582,5.82167e-05,0.000682693,0.000682693,0.000235043,1.08057e-05,0.000154865,1.08057e-05,1.96386e-08,2.29521e-08,1.80095e-05,2.45937e-05,1.08057e-05,1.56247e-05,3.74507e-07,0.000681355,0.000681355,0.000122051,6.842e-09,6.81032e-10,1.08057e-05,1.72891e-05,1.21858e-08,1.80095e-05,5.00739e-05,1.08057e-05,0.000230857,5.72706e-05,0.000681355,0.000681355,0.000100703,1.08102e-05,2.47213e-06,1.08057e-05,6.81601e-06,6.83829e-09,1.80095e-05,0.000266467,1.08057e-05,0.000365785,1.66689e-05,0.000681355,0.000681355,0.000838671,1.20919e-08,1.42877e-05,1.08057e-05,7.40536e-06,9.50454e-09,1.80095e-05,0.00037306,1.08057e-05,0.000129787,6.45968e-05,0.000681355,0.000681355,0.000292098,7.20379e-06,1.19645e-07,1.08057e-05,2.51585e-07,6.40023e-07,1.80095e-05,7.78729e-05,1.08057e-05,0.000512127,1.4456e-05,0.000681355,0.000681355,0.000745335,9.81502e-06,6.55019e-10,1.08057e-05,1.54868e-08,6.25909e-07,1.80095e-05,1.11201e-07,1.08057e-05,0.000428136,9.08515e-05,0.000682693,0.000682693,0.000666978,1.61194e-08,1.85167e-06,1.08057e-05,4.69384e-07,7.45636e-08,1.80095e-05,9.93636e-05,1.08057e-05,0.000129788,4.65028e-05,0.000681355,0.000681355,0.000234672,1.48762e-05,1.79944e-06,1.08057e-05
6.40599e-06,6.74059e-09,1.7563e-05,0.00031576,1.05378e-05,0.000459944,9.26851e-06,0.00068134,0.00068134,0.000167329,0.000499177,1.05379e-05,1.05378e-05,7.0252e-06,6.65847e-09,1.7563e-05,5.32864e-05,1.05378e-05,0.000571809,5.70074e-05,0.000682664,0.000682664,0.000227016,1.05378e-05,0.00015229,1.05378e-05,1.8643e-08,2.17757e-08,1.7563e-05,2.33844e-05,1.05378e-05,1.57577e-05,3.74586e-07,0.00068134,0.00068134,0.000114946,6.29289e-09,6.36362e-10,1.05378e-05,1.68605e-05,1.14177e-08,1.7563e-05,4.90362e-05,1.05378e-05,0.000227784,5.60836e-05,0.00068134,0.00068134,9.48361e-05,1.05425e-05,2.40082e-06,1.05378e-05,6.60812e-06,6.28891e-09,1.7563e-05,0.00026313,1.05378e-05,0.000361451,1.61195e-05,0.00068134,0.00068134,0.000825739,1.16221e-08,1.38168e-05,1.05378e-05,7.20674e-06,8.75477e-09,1.7563e-05,0.000368387,1.05378e-05,0.000127363,6.32631e-05,0.00068134,0.00068134,0.000285067,7.0252e-06,1.13908e-07,1.05378e-05,2.40159e-07,6.12087e-07,1.7563e-05,7.64184e-05,1.05378e-05,0.00050666,1.41006e-05,0.00068134,0.00068134,0.000739079,9.56173e-06,5.97399e-10,1.05378e-05,1.43021e-08,5.85298e-07,1.7563e-05,1.03123e-07,1.05378e-05,0.000424563,8.91546e-05,0.000682664,0.000682664,0.00065942,1.54928e-08,1.78707e-06,1.05378e-05,4.48901e-07,6.91591e-08,1.7563e-05,9.68025e-05,1.05378e-05,0.000127364,4.5544e-05,0.00068134,0.00068134,0.000229472,1.45367e-05,1.7279e-06,1.05378e-05
6.23374e-06,6.21357e-09,1.71264e-05,0.000311783,1.02758e-05,0.000456091,8.9824e-06,0.000681326,0.000681326,0.000160475,0.000494897,1.0276e-05,1.02758e-05,6.85056e-06,6.13511e-09,1.71264e-05,5.17786e-05,1.02758e-05,0.000567809,5.58194e-05,0.000682635,0.000682635,0.000219209,1.02758e-05,0.000149747,1.02758e-05,1.76957e-08,2.06653e-08,1.71264e-05,2.22285e-05,1.02758e-05,1.58929e-05,3.74849e-07,0.000681326,0.000681326,0.000108203,5.78633e-09,5.96314e-10,1.02758e-05,1.64413e-05,1.07007e-08,1.71264e-05,4.80166e-05,1.02758e-05,0.000224742,5.49175e-05,0.000681326,0.000681326,8.92669e-05,1.02808e-05,2.33141e-06,1.02758e-05,6.40599e-06,5.78206e-09,1.71264e-05,0.000259816,1.02758e-05,0.000357154,1.55862e-05,0.000681326,0.000681326,0.000812913,1.11699e-08,1.33597e-05,1.02758e-05,7.01296e-06,8.06246e-09,1.71264e-05,0.000363747,1.02758e-05,0.000124976,6.19529e-05,0.000681326,0.000681326,0.000278165,6.85056e-06,1.08541e-07,1.02758e-05,2.29223e-07,5.85298e-07,1.71264e-05,7.49859e-05,1.02758e-05,0.000501228,1.37533e-05,0.000681326,0.000681326,0.000732796,9.31434e-06,5.44697e-10,1.02758e-05,1.32043e-08,5.47171e-07,1.71264e-05,9.56052e-08,1.02758e-05,0.000421008,8.74833e-05,0.000682635,0.000682635,0.000651868,1.48896e-08,1.72456e-06,1.02758e-05,4.29258e-07,6.41289e-08,1.71264e-05,9.42958e-05,1.02758e-05,0.000124976,4.4602e-05,0.000681326,0.000681326,0.00022436,1.42041e-05,1.65906e-06,1.02758e-05
6.0657e-06,5.7268e-09,1.66995e-05,0.000307835,1.00197e-05,0.000452258,8.70502e-06,0.000681311,0.000681311,0.000153861,0.000490626,1.00198e-05,1.00197e-05,6.67979e-06,5.65185e-09,1.66995e-05,5.03073e-05,1.00197e-05,0.000563818,5.46524e-05,0.000682606,0.000682606,0.000211617,1.00197e-05,0.000147236,1.00197e-05,1.67945e-08,1.96167e-08,1.66995e-05,2.11238e-05,1.00197e-05,1.60304e-05,3.75295e-07,0.000681311,0.000681311,0.000101805,5.31916e-09,5.6055e-10,1.00197e-05,1.60315e-05,1.00313e-08,1.66995e-05,4.7015e-05,1.00197e-05,0.000221731,5.37718e-05,0.000681311,0.000681311,8.39834e-05,1.00248e-05,2.26384e-06,1.00197e-05,6.20948e-06,5.31458e-09,1.66995e-05,0.000256526,1.00197e-05,0.000352895,1.50687e-05,0.000681311,0.000681311,0.000800193,1.07346e-08,1.29161e-05,1.00197e-05,6.82392e-06,7.42338e-09,1.66995e-05,0.000359141,1.00197e-05,0.000122625,6.06658e-05,0.000681311,0.000681311,0.000271393,6.67979e-06,1.03528e-07,1.00197e-05,2.18758e-07,5.59613e-07,1.66995e-05,7.35751e-05,1.00197e-05,0.000495833,1.34137e-05,0.000681311,0.000681311,0.000726486,9.07272e-06,4.96507e-10,1.00197e-05,1.21874e-08,5.11384e-07,1.66995e-05,8.86109e-08,1.00197e-05,0.000417469,8.58374e-05,0.000682606,0.000682606,0.000644326,1.4309e-08,1.6641e-06,1.00197e-05,4.10426e-07,5.94486e-08,1.66995e-05,9.18427e-05,1.00197e-05,0.000122625,4.36768e-05,0.000681311,0.000681311,0.000219334,1.3878e-05,1.59283e-06,1.00197e-05
5.90179e-06,5.27733e-09,1.62821e-05,0.000303916,9.76925e-06,0.000448442,8.43612e-06,0.000681297,0.000681297,0.000147481,0.000486366,9.76939e-06,9.76925e-06,6.51283e-06,5.20573e-09,1.62821e-05,4.88717e-05,9.76925e-06,0.000559839,5.35061e-05,0.000682577,0.000682577,0.000204237,9.76926e-06,0.000144757,9.76925e-06,1.59373e-08,1.86263e-08,1.62821e-05,2.00685e-05,9.76925e-06,1.61699e-05,3.75924e-07,0.000681297,0.000681297,9.57381e-05,4.88845e-09,5.28761e-10,9.76925e-06,1.56308e-05,9.40637e-09,1.62821e-05,4.60312e-05,9.76925e-06,0.00021875,5.26464e-05,0.000681297,0.000681297,7.89736e-05,9.77462e-06,2.19808e-06,9.76925e-06,6.01845e-06,4.88354e-09,1.62821e-05,0.00025326,9.76925e-06,0.000348672,1.45666e-05,0.000681297,0.000681297,0.000787581,1.03156e-08,1.24857e-05,9.76925e-06,6.63951e-06,6.83358e-09,1.62821e-05,0.000354569,9.76925e-06,0.000120309,5.94016e-05,0.000681297,0.000681297,0.000264747,6.51283e-06,9.88549e-08,9.76925e-06,2.08745e-07,5.34988e-07,1.62821e-05,7.21858e-05,9.76925e-06,0.000490474,1.30818e-05,0.000681297,0.000681297,0.000720153,8.83675e-06,4.52455e-10,9.76925e-06,1.12457e-08,4.77806e-07,1.62821e-05,8.21055e-08,9.76925e-06,0.000413947,8.42167e-05,0.000682577,0.000682577,0.000636793,1.37501e-08,1.60561e-06,9.76925e-06,3.92371e-07,5.50949e-08,1.62821e-05,8.94423e-05,9.76925e-06,0.000120309,4.2768e-05,0.000681297,0.000681297,0.000214395,1.35586e-05,1.52912e-06,9.76925e-06
5.7419e-06,4.86238e-09,1.5874e-05,0.000300026,9.52441e-06,0.000444645,8.17546e-06,0.000681283,0.000681283,0.000141329,0.000482115,9.52455e-06,9.52441e-06,6.3496e-06,4.79398e-09,1.5874e-05,4.74713e-05,9.52441e-06,0.00055587,5.23802e-05,0.000682549,0.000682549,0.000197066,9.52441e-06,0.00014231,9.52441e-06,1.5122e-08,1.76906e-08,1.5874e-05,1.90606e-05,9.52441e-06,1.63116e-05,3.76736e-07,0.000681283,0.000681283,8.99891e-05,4.49148e-09,5.00665e-10,9.52441e-06,1.5239e-05,8.82281e-09,1.5874e-05,4.50647e-05,9.52441e-06,0.0002158,5.1541e-05,0.000681283,0.000681283,7.42261e-05,9.53e-06,2.13409e-06,9.52441e-06,5.83277e-06,4.48622e-09,1.5874e-05,0.000250019,9.52441e-06,0.000344486,1.40795e-05,0.000681283,0.000681283,0.000775078,9.91246e-09,1.20682e-05,9.52441e-06,6.45963e-06,6.28939e-09,1.5874e-05,0.00035003,9.52441e-06,0.000118029,5.816e-05,0.000681283,0.000681283,0.000258228,6.3496e-06,9.45065e-08,9.52441e-06,1.99166e-07,5.11384e-07,1.5874e-05,7.08179e-05,9.52441e-06,0.000485152,1.27575e-05,0.000681283,0.000681283,0.000713797,8.60632e-06,4.12198e-10,9.52441e-06,1.03739e-08,4.46309e-07,1.5874e-05,7.60565e-08,9.52441e-06,0.000410442,8.26207e-05,0.000682549,0.000682549,0.000629273,1.32122e-08,1.54903e-06,9.52441e-06,3.75065e-07,5.10462e-08,1.5874e-05,8.7094e-05,9.52441e-06,0.00011803,4.18754e-05,0.000681283,0.000681283,0.000209541,1.32455e-05,1.46784e-06,9.52441e-06
5.58595e-06,4.47939e-09,1.54751e-05,0.000296165,9.28505e-06,0.000440867,7.9228e-06,0.000681269,0.000681269,0.000135397,0.000477875,9.28521e-06,9.28505e-06,6.19004e-06,4.41406e-09,1.54751e-05,4.61053e-05,9.28505e-06,0.000551913,5.12745e-05,0.000682521,0.000682521,0.000190098,9.28506e-06,0.000139895,9.28505e-06,1.43467e-08,1.68062e-08,1.54751e-05,1.80983e-05,9.28505e-06,1.64554e-05,3.77729e-07,0.000681269,0.000681269,8.45441e-05,4.12571e-09,4.76005e-10,9.28505e-06,1.48561e-05,8.27782e-09,1.54751e-05,4.41155e-05,9.28505e-06,0.000212881,5.04553e-05,0.000681269,0.000681269,6.97296e-05,9.29089e-06,2.07181e-06,9.28505e-06,5.65231e-06,4.12007e-09,1.54751e-05,0.000246802,9.28505e-06,0.000340337,1.3607e-05,0.000681269,0.000681269,0.000762685,9.52448e-09,1.16632e-05,9.28505e-06,6.2842e-06,5.78742e-09,1.54751e-05,0.000345526,9.28505e-06,0.000115785,5.69405e-05,0.000681269,0.000681269,0.000251833,6.19004e-06,9.04695e-08,9.28505e-06,1.90003e-07,4.88761e-07,1.54751e-05,6.94711e-05,9.28505e-06,0.000479866,1.24406e-05,0.000681269,0.000681269,0.00070742,8.38132e-06,3.75419e-10,9.28505e-06,9.56703e-09,4.16772e-07,1.54751e-05,7.04337e-08,9.28505e-06,0.000406954,8.10494e-05,0.000682521,0.000682521,0.000621767,1.26946e-08,1.49431e-06,9.28505e-06,3.58479e-07,4.72823e-08,1.54751e-05,8.47968e-05,9.28505e-06,0.000115785,4.09989e-05,0.000681269,0.000681269,0.000204771,1.29388e-05,1.40893e-06,9.28505e-06
5.43387e-06,4.12598e-09,1.50852e-05,0.000292334,9.05109e-06,0.000437107,7.67793e-06,0.000681256,0.000681256,0.00012968,0.000473646,9.05125e-06,9.05109e-06,6.03406e-06,4.06358e-09,1.50852e-05,4.47731e-05,9.05109e-06,0.000547967,5.01887e-05,0.000682493,0.000682493,0.000183332,9.0511e-06,0.000137511,9.05109e-06,1.36095e-08,1.59702e-08,1.50852e-05,1.71798e-05,9.05109e-06,1.66012e-05,3.78905e-07,0.000681256,0.000681256,7.93896e-05,3.78881e-09,4.54547e-10,9.05109e-06,1.44817e-05,7.76875e-09,1.50852e-05,4.31833e-05,9.05109e-06,0.000209991,4.9389e-05,0.000681256,0.000681256,6.54731e-05,9.05717e-06,2.01121e-06,9.05109e-06,5.47693e-06,3.78276e-09,1.50852e-05,0.000243609,9.05109e-06,0.000336225,1.31487e-05,0.000681256,0.000681256,0.000750402,9.15117e-09,1.12704e-05,9.05109e-06,6.1131e-06,5.3245e-09,1.50852e-05,0.000341056,9.05109e-06,0.000113575,5.57431e-05,0.000681256,0.000681256,0.000245561,6.03406e-06,8.6731e-08,9.05109e-06,1.81239e-07,4.67082e-07,1.50852e-05,6.81451e-05,9.05109e-06,0.000474616,1.21309e-05,0.000681256,0.000681256,0.000701022,8.16164e-06,3.41828e-10,9.05109e-06,8.82045e-09,3.89081e-07,1.50852e-05,6.52084e-08,9.05109e-06,0.000403483,7.95025e-05,0.000682493,0.000682493,0.000614275,1.21965e-08,1.44139e-06,9.05109e-06,3.42585e-07,4.37842e-08,1.50852e-05,8.255e-05,9.05109e-06,0.000113575,4.01382e-05,0.000681256,0.000681256,0.000200085,1.26384e-05,1.35228e-06,9.05109e-06
5.28555e-06,3.79994e-09,1.4704e-05,0.000288532,8.82241e-06,0.000433366,7.4406e-06,0.000681243,0.000681243,0.000124172,0.000469428,8.82258e-06,8.82241e-06,5.88161e-06,3.74033e-09,1.4704e-05,4.3474e-05,8.82241e-06,0.000544032,4.91225e-05,0.000682466,0.000682466,0.000176761,8.82242e-06,0.000135158,8.82241e-06,1.29086e-08,1.51796e-08,1.4704e-05,1.63033e-05,8.82241e-06,1.67491e-05,3.80263e-07,0.000681243,0.000681243,7.4513e-05,3.47858e-09,4.3608e-10,8.82241e-06,1.41159e-05,7.29317e-09,1.4704e-05,4.22679e-05,8.82241e-06,0.000207131,4.83419e-05,0.000681243,0.000681243,6.14462e-05,8.82874e-06,1.95225e-06,8.82241e-06,5.30651e-06,3.4721e-09,1.4704e-05,0.000240441,8.82241e-06,0.00033215,1.27043e-05,0.000681243,0.000681243,0.000738232,8.792e-09,1.08895e-05,8.82241e-06,5.94625e-06,4.8977e-09,1.4704e-05,0.00033662,8.82241e-06,0.000111399,5.45672e-05,0.000681243,0.000681243,0.000239411,5.88161e-06,8.32792e-08,8.82241e-06,1.72858e-07,4.46308e-07,1.4704e-05,6.68398e-05,8.82241e-06,0.000469403,1.18284e-05,0.000681243,0.000681243,0.000694606,7.94717e-06,3.11157e-10,8.82241e-06,8.12987e-09,3.6313e-07,1.4704e-05,6.0354e-08,8.82241e-06,0.00040003,7.79797e-05,0.000682466,0.000682466,0.000606801,1.17173e-08,1.39022e-06,8.82241e-06,3.27356e-07,4.05339e-08,1.4704e-05,8.03529e-05,8.82241e-06,0.000111399,3.92931e-05,0.000681243,0.000681243,0.000195483,1.23441e-05,1.29784e-06,8.82241e-06
